the_geom,Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Start Time,End Time,Day Of Week,SegmentID,NHoodName,Length In Miles,Shape Length,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End
"MULTILINESTRING ((-73.90067721909898 40.6755982709674, -73.9006737663303 40.67555791589138))",Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,168318,Broadway Junction,0.0027904679114,14.733670586,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.9006737663303 40.67555791589138, -73.90066793014638 40.675489840893036))",Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,168319,Broadway Junction,0.0047072817541,24.8544476478,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.90066793014638 40.675489840893036, -73.90022850852631 40.67384934368027))",Brownsville,Brooklyn,WILLIAMS AVENUE,Liberty Ave,Atlantic Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,168320,Broadway Junction,0.115526961256,609.982355444,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95632594538546 40.80570719760236, -73.9577217598986 40.80629098877945))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,38472,Harlem,0.0835392077378,441.087016863,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.954874509854 40.80509688403987, -73.95632594538546 40.80570719760236))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,38478,Harlem,0.0869773791687,459.240562004,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95272325242433 40.804190273342925, -73.954874509854 40.80509688403987))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,38590,Harlem,0.128983235063,681.031481152,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94977111828857 40.8029453369538, -73.95074181966197 40.80335391593543))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,127654,Harlem,0.0581845263918,307.214299315,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.945967897425 40.801342394714595, -73.94756570777007 40.802016003504455))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,127659,Harlem,0.0958113815631,505.884094653,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.95203459423107 40.803898029167854, -73.95211258435684 40.80393112790537))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,166435,Harlem,0.00468385970732,24.7307792474,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
"MULTILINESTRING ((-73.94918716075036 40.802699541992396, -73.94925910530155 40.802729821441474))",Harlem,Manhattan,WEST  117 STREET,Morningside Ave,5th Ave,Full Block,05/23/2020 12:00:00 AM,"8:00PM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM,8:00PM",ALL,186663,Harlem,0.00431233475685,22.7691275103,8:00PM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
